term,definition
anterior talofibular ligament,"intrinsic ligament located on the lateral side of the ankle joint, between talus bone and lateral malleolus of fibula; supports talus at the talocrural joint and resists excess inversion of the foot."
anterior tibial artery,branches from the popliteal artery; supplies blood to the anterior tibial region; becomes the dorsalis pedis artery.
anterior tibial vein,forms from the dorsal venous arch; drains the area near the tibialis anterior muscle and leads to the popliteal vein.
anterior (ventral) sacral foramen,one of the series of paired openings located on the anterior (ventral) side of the sacrum.
antibodies,"(also, immunoglobulins or gamma globulins) antigen-specific proteins produced by specialised B lymphocytes that protect the body by binding to foreign objects such as bacteria and viruses."
anticoagulant,substance such as heparin that opposes coagulation.
anticodon,consecutive sequence of three nucleotides on a tRNA molecule that is complementary to a specific codon on an mRNA molecule.
antidiuretic hormone (ADH),hypothalamic hormone that is stored by the posterior pituitary and that signals the kidneys to reabsorb water.
antigen,molecule recognised by the receptors of B and T lymphocytes.
antigenic determinant,"(also, epitope) one of the chemical groups recognised by a single type of lymphocyte antigen receptor."
antigen presentation,binding of processed antigen to the protein-binding cleft of a major histocompatibility complex molecule.
antigen processing,internalisation and digestion of antigen in an antigen-presenting cell.
antigen receptor,two-chain receptor by which lymphocytes recognise antigen.
angiogenesis,formation of blood capillary networks.
antithrombin,anticoagulant that inactivates factor X and opposes the conversion of prothrombin (factor II) into thrombin in the common pathway.
antrum,fluid-filled chamber that characterises a mature tertiary (antral) follicle.
anulus fibrosus,"tough, fibrous outer portion of an intervertebral disc, which is strongly anchored to the bodies of the adjacent vertebrae."
anuria,absence of urine produced; production of 50 mL or less per day.
aorta,"largest artery in the body, originating from the left ventricle and descending to the abdominal region where it bifurcates into the common iliac arteries at the level of the fourth lumbar vertebra; arteries originating from the aorta distribute blood to virtually all tissues of the body."
aortic arch,arc that connects the ascending aorta to the descending aorta; ends at the intervertebral disk between the fourth and fifth thoracic vertebrae.
aortic hiatus,opening in the diaphragm that allows passage of the thoracic aorta into the abdominal region where it becomes the abdominal aorta.
aortic sinuses,small pockets in the ascending aorta near the aortic valve that are the locations of the baroreceptors (stretch receptors) and chemoreceptors that trigger a reflex that aids in the regulation of vascular homeostasis.
aortic valve,"(also, aortic semilunar valve) valve located at the base of the aorta."
apex,tip of the external nose.
apical,"that part of a cell or tissue which, in general, faces an open space."
apical ectodermal ridge,enlarged ridge of ectoderm at the distal end of a limb bud that stimulates growth and elongation of the limb.
apneustic centre,network of neurons within the pons that stimulate the neurons in the dorsal respiratory group; controls the depth of inspiration.
apocrine secretion,release of a substance along with the apical portion of the cell.
aponeurosis,"broad, tendon-like sheet of connective tissue that attaches a skeletal muscle to another skeletal muscle or to a bone."
apoptosis,programmed cell death.
apocrine sweat gland,type of sweat gland that is associated with hair follicles in the armpits and genital regions.
appendicular skeleton,"all bones of the upper and lower limbs, plus the girdle bones that attach each limb to the axial skeleton."
appendix,(vermiform appendix) coiled tube attached to the cecum.
aquaporin,protein-forming water channels through the lipid bilayer of the cell; allows water to cross; activation in the collecting ducts is under the control of ADH.
arachnoid granulation,out-pocket of the arachnoid membrane into the dural sinuses that allows for reabsorption of CSF into the blood.
arachnoid mater,middle layer of the meninges named for the spider-web–like trabeculae that extend between it and the pia mater.
arachnoid trabeculae,filaments between the arachnoid and pia mater within the subarachnoid space.
arcuate line of the ilium,smooth ridge located at the inferior margin of the iliac fossa; forms the lateral portion of the pelvic brim.
areola,"highly pigmented, circular area surrounding the raised nipple and containing areolar glands that secrete fluid important for lubrication during suckling."
areolar tissue,"(also, loose connective tissue) a type of connective tissue proper that shows little specialisation with cells dispersed in the matrix."
arm,region of the upper limb located between the shoulder and elbow joints; contains the humerus bone.
arrector pili,smooth muscle that is activated in response to external stimuli that pull on hair follicles and make the hair “stand up”.
arterial circle,"(also, circle of Willis) anastomosis located at the base of the brain that ensures continual blood supply; formed from branches of the internal carotid and vertebral arteries; supplies blood to the brain."
arteriole,"(also, resistance vessel) very small artery that leads to a capillary."
arteriovenous anastomosis,short vessel connecting an arteriole directly to a venule and bypassing the capillary beds.
artery,blood vessel that conducts blood away from the heart; may be a conducting or distributing vessel.
articular capsule,connective tissue structure that encloses the joint cavity of a synovial joint.
articular cartilage,thin layer of cartilage covering an epiphysis; reduces friction and acts as a shock absorber.
articular disc,meniscus; a fibrocartilage structure found between the bones of some synovial joints; provides padding or smooths movements between the bones; strongly unites the bones together.
articular tubercle,"smooth ridge located on the inferior skull, immediately anterior to the mandibular fossa."
articulation,where two bone surfaces meet.
artificial pacemaker,medical device that transmits electrical signals to the heart to ensure that it contracts and pumps blood to the body.
ascending aorta,"initial portion of the aorta, rising from the left ventricle for a distance of approximately 5 cm."
ascending tract,central nervous system fibres carrying sensory information from the spinal cord or periphery to the brain.
ascending colon,first region of the colon.
ascending pathway,fibre structure that relays sensory information from the periphery through the spinal cord and brain stem to other structures of the brain.
association area,region of cortex connected to a primary sensory cortical area that further processes the information to generate more complex sensory perceptions.
astrocyte,star-shaped cell in the central nervous system that regulates ions and uptake and/or breakdown of some neurotransmitters and contributes to the formation of the blood-brain barrier.
atmospheric pressure,amount of force that is exerted by gases in the air surrounding any given surface.
atlantoaxial joint,"series of three articulations between the atlas (C1) vertebra and the axis (C2) vertebra, consisting of the joints between the inferior articular processes of C1 and the superior articular processes of C2, and the articulation between the dens of C2 and the anterior arch of C1."
atlanto-occipital joint,articulation between the occipital condyles of the skull and the superior articular processes of the atlas (C1 vertebra).
atlas,first cervical (C1) vertebra.
ATPase,enzyme that hydrolyses ATP to ADP.
atrial natriuretic peptide (ANP),"peptide hormone produced by the walls of the atria in response to high blood pressure, blood volume, or blood sodium that reduces the reabsorption of sodium and water in the kidneys and promotes vasodilation."
atrial reflex,"(also, called Bainbridge reflex) autonomic reflex that responds to stretch receptors in the atria that send impulses to the cardioaccelerator area to increase HR when venous flow into the atria increases."
atrioventricular bundle,"(also, bundle of His) group of specialised myocardial conductile cells that transmit the impulse from the AV node through the interventricular septum; form the left and right atrioventricular bundle branches."
atrioventricular bundle branches,"(also, left or right bundle branches) specialised myocardial conductile cells that arise from the bifurcation of the atrioventricular bundle and pass through the interventricular septum; lead to the Purkinje fibres and also to the right papillary muscle via the moderator band."
atrioventricular (AV) node,"clump of myocardial cells located in the inferior portion of the right atrium within the atrioventricular septum; receives the impulse from the SA node, pauses, and then transmits it into specialised conducting cells within the interventricular septum."
atrioventricular septum,cardiac septum located between the atria and ventricles; atrioventricular valves are located here.
atrioventricular valves,"one-way valves located between the atria and ventricles; the valve on the right is called the tricuspid valve, and the one on the left is the mitral or bicuspid valve."
atrium,(plural = atria) upper or receiving chamber of the heart that pumps blood into the lower chambers just prior to their contraction; the right atrium receives blood from the systemic circuit that flows into the right ventricle; the left atrium receives blood from the pulmonary circuit that flows into the left ventricle.
atrophy,loss of mass and function.
audition,sense of hearing.
auricle,extension of an atrium visible on the superior surface of the heart.
auricle,fleshy external structure of the ear.
auricular surface of the ilium,"roughened area located on the posterior, medial side of the ilium of the hip bone; articulates with the auricular surface of the sacrum to form the sacroiliac joint."
autocrine,chemical signal that elicits a response in the same cell that secreted it.
autolysis,breakdown of cells by their own enzymatic action.
autonomic nervous system (ANS),"functional division of the nervous system that is responsible for homeostatic reflexes that coordinate control of cardiac and smooth muscle, as well as glandular tissue."
autonomic tone,contractile state during resting cardiac activity produced by mild sympathetic and parasympathetic stimulation.
autophagy,lysosomal breakdown of a cell’s own components.
autorhythmicity,ability of cardiac muscle to initiate its own electrical impulse that triggers the mechanical contraction that pumps blood at a fixed pace without nervous or endocrine control.
axial skeleton,"central, vertical axis of the body, including the skull, vertebral column, and thoracic cage."
axillary artery,continuation of the subclavian artery as it penetrates the body wall and enters the axillary region; supplies blood to the region near the head of the humerus (humeral circumflex arteries); the majority of the vessel continues into the brachium and becomes the brachial artery.
axillary nerve,systemic nerve of the arm that arises from the brachial plexus.
axillary vein,major vein in the axillary region; drains the upper limb and becomes the subclavian vein.
axis,second cervical (C2) vertebra.
axon,single process of the neuron that carries an electrical signal (action potential) away from the cell body toward a target cell.
axon hillock,tapering of the neuron cell body that gives rise to the axon.
axon segment,"single stretch of the axon insulated by myelin and bounded by nodes of Ranvier at either end (except for the first, which is after the initial segment, and the last, which is followed by the axon terminal)."
axon terminal,"end of the axon, where there are usually several branches extending toward the target cell."
axoplasm,"cytoplasm of an axon, which is different in composition than the cytoplasm of the neuronal cell body."
azygos vein,"originates in the lumbar region and passes through the diaphragm into the thoracic cavity on the right side of the vertebral column; drains blood from the intercostal veins, oesophageal veins, bronchial veins, and other veins draining the mediastinal region; leads to the superior vena cava."
Bachmann’s bundle,"(also, interatrial band) group of specialised conducting cells that transmit the impulse directly from the SA node in the right atrium to the left atrium."
Bainbridge reflex,"(also, called atrial reflex) autonomic reflex that responds to stretch receptors in the atria that send impulses to the cardioaccelerator area to increase HR when venous flow into the atria increases."
ball-and-socket joint,synovial joint formed between the spherical end of one bone (the ball) that fits into the depression of a second bone (the socket); found at the hip and shoulder joints; functionally classified as a multiaxial joint.
baroreceptor reflex,autonomic reflex in which the cardiac centres monitor signals from the baroreceptor stretch receptors and regulate heart function based on blood flow.
barrier defences,antipathogen defences deriving from a barrier that physically prevents pathogens from entering the body to establish an infection.
Bartholin’s glands,"(also, greater vestibular glands) glands that produce a thick mucus that maintains moisture in the vulva area; also referred to as the greater vestibular glands."
basal cell,"type of stem cell found in the stratum basale and in the hair matrix that continually undergoes cell division, producing the keratinocytes of the epidermis."
basal cell carcinoma,cancer that originates from basal cells in the epidermis of the skin.
basal forebrain,"nuclei of the cerebrum related to modulation of sensory stimuli and attention through broad projections to the cerebral cortex, loss of which is related to Alzheimer’s disease."
basal lamina,thin extracellular layer that lies underneath epithelial cells and separates them from other tissues.
basal nuclei,"nuclei of the cerebrum (with a few components in the upper brain stem and diencephalon) that are responsible for assessing cortical movement commands and comparing them with the general state of the individual through broad modulatory activity of dopamine neurons; largely related to motor functions, as evidenced through the symptoms of Parkinson’s and Huntington’s diseases."
basal plate,developmental region of the spinal cord that gives rise to the lateral and anterior horns of grey matter.
base of the metatarsal bone,"expanded, proximal end of each metatarsal bone."
basement membrane,"in epithelial tissue, a thin layer of fibrous material that anchors the epithelial tissue to the underlying connective tissue; made up of the basal lamina and reticular lamina."
basilar artery,"formed from the fusion of the two vertebral arteries; sends branches to the cerebellum, brain stem, and the posterior cerebral arteries; the main blood supply to the brain stem."
basilar membrane,"in the ear, the floor of the cochlear duct on which the organ of Corti sits."
basilic vein,"superficial vein of the arm that arises from the palmar venous arches, intersects with the median cubital vein, parallels the ulnar vein, and continues into the upper arm; along with the brachial vein, it leads to the axillary vein."
basophils,granulocytes that stain with a basic (alkaline) stain and store histamine and heparin.
B cells,lymphocytes that act by differentiating into an antibody-secreting plasma cell.
bedsore,sore on the skin that develops when regions of the body start necrotising due to constant pressure and lack of blood supply; also called decubitis ulcers.
beta cell,pancreatic islet cell type that produces the hormone insulin.
beta-pleated sheet (β-pleated) –,secondary structure in proteins in which hydrogen bonding forms “pleats” between atoms on the polypeptide chain’s backbone.
Betz cells,output cells of the primary motor cortex that cause musculature to move through synapses on cranial and spinal motor neurons.
biaxial joint,type of diarthrosis; a joint that allows for movements within two planes (two axes).
bicipital groove,intertubercular groove; narrow groove located between the greater and lesser tubercles of the humerus.
bicuspid valve,"(also, mitral valve or left atrioventricular valve) valve located between the left atrium and ventricle; consists of two flaps of tissue."
bile,alkaline solution produced by the liver and important for the emulsification of lipids.
bile canaliculus,small duct between hepatocytes that collects bile.
bilirubin,yellowish bile pigment produced when iron is removed from haem and the remaining molecule is further broken down into waste products.
biliverdin,green bile pigment produced during the conversion of non-iron haem to bilirubin.
binocular depth cues,indications of the distance of visual stimuli on the basis of slight differences in the images projected onto either retina.
biogenic amine,class of neurotransmitters that are enzymatically derived from amino acids but no longer contain a carboxyl group.
biological macromolecule –,large molecule necessary for life that is built from smaller organic molecules.
bipolar,shape of a neuron with two processes extending from the neuron cell body—the axon and one dendrite.
bipolar cell,cell type in the retina that connects the photoreceptors to the RGCs.
blastocoel,fluid-filled cavity of the blastocyst.
blastocyst,term for the conceptus at the developmental stage that consists of about 100 cells shaped into an inner cell mass that is fated to become the embryo and an outer trophoblast that is fated to become the associated foetal membranes and placenta.
blastomere,daughter cell of a cleavage.
blood,"liquid connective tissue composed of cellular components—erythrocytes, leukocytes, and platelets—and a fluid extracellular matrix called plasma; component of the cardiovascular system."
blood-brain barrier (BBB),"physiological barrier between the circulatory system and the central nervous system that establishes a privileged blood supply, restricting the flow of substances into the CNS."
blood colloidal osmotic pressure (BCOP),pressure exerted by colloids suspended in blood within a vessel; a primary determinant is the presence of plasma proteins.
blood hydrostatic pressure,force blood exerts against the walls of a blood vessel or heart chamber.
blood flow,"movement of blood through a vessel, tissue, or organ that is usually expressed in terms of volume per unit of time."
blood islands,masses of developing blood vessels and formed elements from mesodermal cells scattered throughout the embryonic disc.
blood pressure,force exerted by the blood against the wall of a vessel or heart chamber; can be described with the more generic term hydrostatic pressure.
blood–testis barrier,tight junctions between Sertoli cells that prevent bloodborne pathogens from gaining access to later stages of spermatogenesis and prevent the potential for an autoimmune reaction to haploid sperm.
blood typing or grouping,blood test for identification of blood type using commercially prepared antibodies and small samples of blood.
B lymphocytes,"(also, B cells) lymphocytes that defend the body against specific pathogens and thereby provide specific (or adaptive) immunity."
body,mid-portion of the stomach.
body of uterus,middle section of the uterus.
body of the rib,shaft portion of a rib..
Bohr effect,relationship between blood pH and oxygen dissociation from haemoglobin.
bolus,mass of chewed food.
bone,"hard, dense connective tissue that forms the structural elements of the skeleton."
bone marrow,tissue found inside bones; the site of all blood cell differentiation and maturation of B lymphocytes.
bone marrow biopsy,diagnostic test of a sample of red bone marrow.
bone marrow transplant,treatment in which a donor’s healthy bone marrow with its stem cells replaces diseased or damaged bone marrow of a patient.
Bowman’s capsule,cup-shaped sack lined by a simple squamous epithelium (parietal surface) and specialised cells called podocytes (visceral surface) that participate in the filtration process; receives the filtrate which then passes on to the PCTs.
Boyle’s law,relationship between volume and pressure as described by the formula: P1V1 = P2V2.
brachial artery,continuation of the axillary artery in the brachium; supplies blood to much of the brachial region; gives off several smaller branches that provide blood to the posterior surface of the arm in the region of the elbow; bifurcates into the radial and ulnar arteries at the coronoid fossa.
brachial plexus,nerve plexus associated with the lower cervical spinal nerves and first thoracic spinal nerve.
brachial vein,deeper vein of the arm that forms from the radial and ulnar veins in the lower arm; leads to the axillary vein.
brachiocephalic artery,"single vessel located on the right side of the body; the first vessel branching from the aortic arch; gives rise to the right subclavian artery and the right common carotid artery; supplies blood to the head, neck, upper limb, and wall of the thoracic region."
brachiocephalic vein,"one of a pair of veins that form from a fusion of the external and internal jugular veins and the subclavian vein; subclavian, external and internal jugulars, vertebral, and internal thoracic veins lead to it; drains the upper thoracic region and flows into the superior vena cava."
brain,"the large organ of the central nervous system composed of white and grey matter, contained within the cranium and continuous with the spinal cord."
brain case,"portion of the skull that contains and protects the brain, consisting of the eight bones that form the cranial base and rounded upper skull."
brain stem,"region of the adult brain that includes the midbrain, pons, and medulla oblongata and develops from the mesencephalon, metencephalon, and myelencephalon of the embryonic brain."
bridge,portion of the external nose that lies in the area of the nasal bones.
broad ligament,wide ligament that supports the uterus by attaching laterally to both sides of the uterus and pelvic wall.
Broca’s area,"region of the frontal lobe associated with the motor commands necessary for speech production and located only in the cerebral hemisphere responsible for language production, which is the left side in approximately 95 percent of the population."
Brodmann’s areas,"mapping of regions of the cerebral cortex based on microscopic anatomy that relates specific areas to functional differences, as described by Brodmann in the early 1900s."
bronchial artery,systemic branch from the aorta that provides oxygenated blood to the lungs in addition to the pulmonary circuit.
bronchial bud,structure in the developing embryo that forms when the laryngotracheal bud extends and branches to form two bulbous structures.
bronchial tree,collective name for the multiple branches of the bronchi and bronchioles of the respiratory system.
bronchial vein,drains the systemic circulation from the lungs and leads to the azygos vein.
bronchiole,branch of bronchi that are 1 mm or less in diameter and terminate at alveolar sacs.
bronchoconstriction,decrease in the size of the bronchiole due to contraction of the muscular wall.
bronchodilation,increase in the size of the bronchiole due to contraction of the muscular wall.
bronchus,tube connected to the trachea that branches into many subsidiaries and provides a passageway for air to enter and leave the lungs.
bronchus-associated lymphoid tissue (BALT),lymphoid nodule associated with the respiratory tract.
brush border,fuzzy appearance of the small intestinal mucosa created by microvilli.
brush border,formed by microvilli on the surface of certain cuboidal cells; in the kidney it is found in the PCT; increases surface area for absorption in the kidney.
buffy coat,"thin, pale layer of leukocytes and platelets that separates the erythrocytes from the plasma in a sample of centrifuged blood."
bulbourethral glands,"(also, Cowper’s glands) glands that secrete a lubricating mucus that cleans and lubricates the urethra prior to and during ejaculation."
bulbus cordis,portion of the primitive heart tube that will eventually develop into the right ventricle.
bundle of His,"(also, atrioventricular bundle) group of specialised myocardial conductile cells that transmit the impulse from the AV node through the interventricular septum; form the left and right atrioventricular bundle branches."
bursa,"connective tissue sac containing lubricating fluid that prevents friction between adjacent structures, such as skin and bone, tendons and bone, or between muscles."
calcaneofibular ligament,"intrinsic ligament located on the lateral side of the ankle joint, between the calcaneus bone and lateral malleolus of the fibula; supports the talus bone at the ankle joint and resists excess inversion of the foot."
calcaneus,"heel bone; posterior, inferior tarsal bone that forms the heel of the foot."
calcitonin,peptide hormone produced and secreted by the parafollicular cells (C cells) of the thyroid gland that functions to decrease blood calcium levels.
calyces,cup-like structures receiving urine from the collecting ducts where it passes on to the renal pelvis and ureter.
callus,thickened area of skin that arises due to constant abrasion.
